,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-31 00:15:00,"[Weekend n recruitment support] Recruitment news from Lotte Group, Celltrion, Timon, etc.",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
1,2020-10-28 19:05:00,Lily clinical suspension... Celltrion pays attention to'early antibody treatment for mild patients',0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
2,2020-10-28 11:15:00,"Celltrion ""Stops clinical trials in Lily, demonstrating the need for early antibody treatment for COVID-19""",0,0.10300000000000001,0.0,0.897,-0.1531,-1,2020-10-28,2020-10-28 00:00:00
3,2020-10-27 15:25:00,[EDaily N] Celltrion announces the results of Phase 3 clinical trial of Remsima SC,0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
4,2020-10-27 14:49:00,"Celltrion Remsima SC, same effect as Remsima",0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
5,2020-10-27 11:22:00,"Celltrion, Remsima SC Clinical Phase 3 Results… “No difference in immunogenicity by formulation”",-1,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
6,2020-10-27 10:56:00,"Celltrion ""Remsima SC, there is no difference according to formulation""",-1,0.196,0.0,0.804,-0.29600000000000004,-1,2020-10-27,2020-10-27 00:00:00
7,2020-10-27 10:03:00,Celltrion Announces Results of Phase 3 Clinical Trial of Remsima SC at International Conference,0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
8,2020-10-27 09:33:00,"Celltrion, Remsima SC Phase 3 clinical results... ""Conclusion of convenient treatment means""",0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
9,2020-10-27 09:09:00,Celltrion announces results of Phase 3 of Remsima SC...,0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
10,2020-10-27 11:18:00,[Super high stocks now] Focus on buying Celltrion and Hanwha Solutions,0,0.0,0.145,0.855,0.1779,1,2020-10-27,2020-10-27 00:00:00
11,2020-10-27 10:48:00,Celltrion Announces Results of Phase 3 Clinical Trial at Remsima SC at International Conference,0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
