,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-30 10:13:00,"[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business...",-1,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
1,2020-10-30 06:03:00,Samsung SDI bids 30 trillion won for Hyundai Motor battery business Samsung-Hyundai Motors Millwall Era,-1,0.0,0.209,0.7909999999999999,0.5719,1,2020-10-30,2020-10-30 00:00:00
2,2020-10-28 08:57:00,"[Today's target price] Samsung SDI, Hyundai Steel, and Huvitz'performance momentum'... eye level...",0,0.0,0.0,1.0,0.0,0,2020-10-28,2020-10-28 00:00:00
3,2020-10-28 08:31:00,"“Samsung SDI, profit improvement will accelerate”-Hanwha Investment & Securities",0,0.0,0.618,0.382,0.7964,1,2020-10-28,2020-10-28 00:00:00
4,2020-10-28 07:34:00,"Samsung SDI, 3Q sales record highest... Remarkable growth potential of medium and large batteries-NH",1,0.0,0.341,0.659,0.7351,1,2020-10-28,2020-10-28 00:00:00
5,2020-10-28 08:01:00,"Samsung SDI, 4Q mid-to-large-sized batteries to grow significantly… 'Buy' at adjustment-Yuan...",0,0.326,0.0,0.674,-0.7034,-1,2020-10-28,2020-10-28 00:00:00
6,2020-10-28 07:58:00,"Samsung SDI, 4Q auto battery expected to turn profitable",0,0.32799999999999996,0.19699999999999998,0.475,-0.4466,-1,2020-10-28,2020-10-28 00:00:00
7,2020-10-28 07:31:00,"[Click e-sector] ""Samsung SDI, expects to turn surplus in car battery... Shares turn right...",0,0.0,0.145,0.855,0.29600000000000004,1,2020-10-28,2020-10-28 00:00:00
8,2020-10-27 17:24:00,Samsung SDI's third quarter sales of 3.87 trillion won'the largest ever',-1,0.0,0.0,1.0,0.0,0,2020-10-28,2020-10-28 00:00:00
9,2020-10-27 15:12:00,"Battery profit improvement..Samsung SDI, 3 trillion in sales in the third quarter,'maximum'",-1,0.0,0.225,0.775,0.4404,1,2020-10-27,2020-10-27 00:00:00
10,2020-10-27 14:22:00,Samsung SDI's stock price is also strong on'surprising performance' of strong battery,1,0.0,0.39799999999999996,0.602,0.765,1,2020-10-27,2020-10-27 00:00:00
11,2020-10-27 14:19:00,"Samsung SDI, 3Q operating profit of 2674 billion won... 'Battery business good'",0,0.0,0.36700000000000005,0.633,0.7003,1,2020-10-27,2020-10-27 00:00:00
12,2020-10-27 13:47:00,"Samsung SDI recorded the highest quarterly sales..""Achieved the old battery BEP""",1,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
13,2020-10-27 15:04:00,"Samsung SDI, donated 600 million won to Samsung Life Insurance Foundation",-1,0.0,0.27,0.73,0.5719,1,2020-10-27,2020-10-27 00:00:00
14,2020-10-27 15:02:00,"Samsung SDI, 3Q operating profit of 267.3 billion... 61.1% increase over the previous year",-1,0.0,0.302,0.698,0.6369,1,2020-10-27,2020-10-27 00:00:00
15,2020-10-27 13:56:00,"Samsung SDI, 3Q operating profit of 267.3 billion... 61.1% year-on-year↑",-1,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-27,2020-10-27 00:00:00
16,2020-10-27 15:00:00,"Quietly in'mourning'... Samsung SDI, the highest sales ever",1,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
17,2020-10-27 13:44:00,Samsung SDI on a European electric car... 'Quiet room performance',0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
18,2020-10-27 14:54:00,"""Thanks to the sales of electric vehicles in Europe""... Samsung SDI's third quarter sales record highest (total)",1,0.0,0.153,0.847,0.4404,1,2020-10-27,2020-10-27 00:00:00
19,2020-10-27 13:52:00,Samsung SDI's'good battery life' surged 61% in 3Q operating profit,1,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-27,2020-10-27 00:00:00
20,2020-10-27 13:23:00,"Samsung SDI's third quarter performance... ""Increase in sales of small and medium-sized battery business""",0,0.0,0.15,0.85,0.3182,1,2020-10-27,2020-10-27 00:00:00
21,2020-10-27 14:24:00,"""The annual demand for micromobility is expected to increase by more than 30%""-Samsung SDI Concall",0,0.08900000000000001,0.13699999999999998,0.774,0.2023,1,2020-10-27,2020-10-27 00:00:00
22,2020-10-27 14:03:00,"Samsung SDI, 3Q operating profit of 2674 billion won... 61% increase over the previous year",-1,0.0,0.28600000000000003,0.7140000000000001,0.6369,1,2020-10-27,2020-10-27 00:00:00
23,2020-10-27 13:19:00,"[Breaking News] Samsung SDI, 3Q operating profit of 267.4 billion won 61.1% year-on-year↑",-1,0.0,0.375,0.625,0.765,1,2020-10-27,2020-10-27 00:00:00
24,2020-10-27 13:07:00,"Samsung SDI, 3Q operating profit of 2674 billion won... 61.1% ↑ compared to the previous year (breaking news)",-1,0.0,0.153,0.847,0.4404,1,2020-10-27,2020-10-27 00:00:00
25,2020-10-27 13:59:00,"""EV battery sales will increase significantly next year""-Samsung SDI Concall",0,0.0,0.204,0.7959999999999999,0.3182,1,2020-10-27,2020-10-27 00:00:00
26,2020-10-27 13:58:00,"""Annual polarizing film sales expected to grow by double digits compared to the previous year""-Samsung SDI Concall",0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
27,2020-10-27 13:53:00,"“Next year, the cost of Zen5 batteries is expected to be reduced by more than 20%”-Samsung SDI Concall",0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
28,2020-10-27 13:52:00,Samsung SDI's'good battery life' surged 61% in 3Q operating profit,1,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-27,2020-10-27 00:00:00
29,2020-10-27 13:43:00,“An annual surplus in the automotive battery business is expected next year”-Samsung SDI Concall,0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
30,2020-10-27 13:38:00,“Sales of medium and large batteries are expected to increase significantly in the fourth quarter”-Samsung SDI Concall,0,0.0,0.126,0.8740000000000001,0.3182,1,2020-10-27,2020-10-27 00:00:00
31,2020-10-27 13:30:00,"Samsung SDI, 3Q operating profit of KRW 266.4 billion ... 61.1% ↑",-1,0.0,0.225,0.775,0.4404,1,2020-10-27,2020-10-27 00:00:00
32,2020-10-27 13:10:00,"Samsung SDI, 3Q operating profit of 2674 billion won... 61.6% ↑ compared to the previous year",-1,0.0,0.172,0.828,0.4404,1,2020-10-27,2020-10-27 00:00:00
33,2020-10-27 13:07:00,"Samsung SDI, 3Q sales of 3.87 trillion won... 20.2% ↑ compared to the previous year (breaking news)",-1,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
34,2020-10-26 08:35:00,`US ITC ruling-Samsung SDI·SK Ino's performance announcement-LG Chemicals shareholders` battery ...,0,0.0,0.0,1.0,0.0,0,2020-10-26,2020-10-26 00:00:00
35,2020-10-22 11:17:00,Samsung SDI's battery'Zigzag' introduced,0,0.0,0.0,1.0,0.0,0,2020-10-22,2020-10-22 00:00:00
36,2020-10-20 10:42:00,"Samsung SDI, Participated in InterBattery 2020... ""To showcase the eco-friendly future""",0,0.0,0.0,1.0,0.0,0,2020-10-20,2020-10-20 00:00:00
37,2020-10-20 10:20:00,Samsung SDI Unveils Roadmap for All Solid Battery Development,0,0.0,0.16699999999999998,0.833,0.1531,1,2020-10-20,2020-10-20 00:00:00
38,2020-10-20 10:17:00,"Samsung SDI, Participated in'Inter Battery 2020'... ""Presenting the future of batteries""",0,0.0,0.0,1.0,0.0,0,2020-10-20,2020-10-20 00:00:00
39,2020-10-20 09:56:00,"Samsung SDI, InterBattery, ""Batteries that transcend limits and help a sustainable future""...",0,0.0,0.213,0.787,0.4019,1,2020-10-20,2020-10-20 00:00:00
40,2020-10-18 16:53:00,Samsung SDI's'Mind Prevention' Open one hundred days without an employee's face-to-face,0,0.0,0.0,1.0,0.0,0,2020-10-19,2020-10-19 00:00:00
41,2020-10-18 12:51:00,Samsung SDI held a hundred days for employees overcoming coronavirus,0,0.0,0.0,1.0,0.0,0,2020-10-18,2020-10-18 00:00:00
42,2020-10-18 10:00:00,Samsung SDI's executives and employees''mind defense'...,-1,0.0,0.0,1.0,0.0,0,2020-10-18,2020-10-18 00:00:00
43,2020-10-18 09:39:00,"""Corona blue go""詩 poured into Samsung SDI",0,0.0,0.0,1.0,0.0,0,2020-10-18,2020-10-18 00:00:00
44,2020-10-18 09:19:00,"Samsung SDI, one hundred days in the company'talk'... Best small poems in self-written poems and three lines",1,0.0,0.20800000000000002,0.792,0.6369,1,2020-10-18,2020-10-18 00:00:00
45,2020-10-18 09:01:00,"""Hope is in us"" Samsung SDI, self-written poems and Samhaeng poems for employees ...",0,0.0,0.182,0.818,0.4404,1,2020-10-18,2020-10-18 00:00:00
46,2020-10-18 11:10:00,3Q good Samsung SDI… Increasing battery expandability,1,0.0,0.326,0.674,0.4404,1,2020-10-18,2020-10-18 00:00:00
47,2020-10-16 05:40:00,Samsung SDI's super-gap battery separator is'safe' even at high temperatures of 150 degrees,0,0.0,0.0,1.0,0.0,0,2020-10-16,2020-10-16 00:00:00
48,2020-10-15 18:27:00,Samsung SDI expands plant in Hungary... Double production capacity,0,0.0,0.149,0.851,0.1027,1,2020-10-16,2020-10-16 00:00:00
49,2020-10-15 17:20:00,Samsung SDI battery wins... Doubled European production,1,0.0,0.0,1.0,0.0,0,2020-10-16,2020-10-16 00:00:00
50,2020-10-14 16:12:00,"""Drag electric car and push ESS""... Samsung SDI, medium and large battery business",-1,0.13699999999999998,0.0,0.863,-0.2263,-1,2020-10-15,2020-10-15 00:00:00
51,2020-10-12 16:41:00,Samsung SDI held a company briefing session (IR) on the 27th,0,0.0,0.0,1.0,0.0,0,2020-10-13,2020-10-13 00:00:00
52,2020-10-12 08:38:00,"Samsung SDI, Tesla's electric car rivalry sparked a solo run-SK Securities",0,0.0,0.196,0.804,0.29600000000000004,1,2020-10-12,2020-10-12 00:00:00
53,2020-10-12 08:06:00,"Samsung SDI, desperate anti-Tesla camp... “Electric cars can't be delayed any longer”-SK",-1,0.165,0.11900000000000001,0.716,-0.1615,-1,2020-10-12,2020-10-12 00:00:00
